DistrictName,DistrictType,Virtual,Hybrid,In_Person
Penn Manor SD,Regular local school district,0,5,4
Penn-Delco SD,Regular local school district,0,0,0
Penn-Trafford SD,Regular local school district,0,5,4
Penncrest SD,Regular local school district,0,2,7
Pennridge SD,Regular local school district,0,5,4
Penns Manor Area SD,Regular local school district,0,8,1
Penns Valley Area SD,Regular local school district,0,0,0
Pennsbury SD,Regular local school district,5,4,0
People for People CS,Charter agency,6,3,0
Pequea Valley SD,Regular local school district,0,7,2
Perkiomen Valley SD,Regular local school district,0,7,2
Perseus House CS of Excellence,Charter agency,0,0,0
Peters Township SD,Regular local school district,0,9,0
Philadelphia Academy CS,Charter agency,7,2,0
Philadelphia City SD,Regular local school district,9,0,0
Philadelphia Electrical & Tech CHS,Charter agency,9,0,0
Philadelphia Hebrew Public CS,Charter agency,6,3,0
Philadelphia Montessori CS,Charter agency,6,0,3
Philadelphia Performing Arts CS,Charter agency,9,0,0
Philipsburg-Osceola Area SD,Regular local school district,0,9,0
Phoenixville Area SD,Regular local school district,2,5,2
Pine Grove Area SD,Regular local school district,0,9,0
Pine-Richland SD,Regular local school district,1,1,7
Pittsburgh SD,Regular local school district,7,2,0
Pittston Area SD,Regular local school district,6,3,0
Pleasant Valley SD,Regular local school district,0,7,2
Plum Borough SD,Regular local school district,1,8,0
Pocono Mountain SD,Regular local school district,6,3,0
Port Allegany SD,Regular local school district,0,0,9
Portage Area SD,Regular local school district,1,7,1
Pottsgrove SD,Regular local school district,3,6,0
Pottstown SD,Regular local school district,9,0,0
Pottsville Area SD,Regular local school district,0,7,2
Premier Arts and Science CS,Charter agency,0,9,0
Preparatory CS of Mathematics Science Tech and Careers,Charter agency,9,0,0
Propel CS-Braddock Hills,Charter agency,3,6,0
Propel CS-East,Charter agency,3,6,0
Propel CS-Hazelwood,Charter agency,3,6,0
Propel CS-Homestead,Charter agency,6,3,0
Propel CS-McKeesport,Charter agency,3,6,0
Propel CS-Montour,Charter agency,3,6,0
Propel CS-Northside,Charter agency,3,6,0
Propel CS-Pitcairn,Charter agency,3,6,0
Provident CS,Charter agency,1,8,0
Punxsutawney Area SD,Regular local school district,0,8,1
Purchase Line SD,Regular local school district,0,9,0
Quaker Valley SD,Regular local school district,1,8,0
Quakertown Community SD,Regular local school district,0,5,4
Radnor Township SD,Regular local school district,0,9,0
Reading Muhlenberg CTC,Specialized public school district,0,0,0
Reading SD,Regular local school district,9,0,0
Red Lion Area SD,Regular local school district,0,7,2
Redbank Valley SD,Regular local school district,2,0,7
Renaissance Academy CS,Charter agency,9,0,0
Reynolds SD,Regular local school district,3,6,0
Richard Allen Preparatory CS,Charter agency,9,0,0
Richland SD,Regular local school district,1,7,1
Ridgway Area SD,Regular local school district,0,0,9
Ridley SD,Regular local school district,1,8,0
Ringgold SD,Regular local school district,1,6,2
Riverside Beaver County SD,Regular local school district,1,5,3
Riverside SD,Regular local school district,0,9,0
Riverview SD,Regular local school district,2,2,5
Robert Benjamin Wiley Community CS,Charter agency,0,0,0
Roberto Clemente CS,Charter agency,9,0,0
Rochester Area SD,Regular local school district,1,7,1
Rockwood Area SD,Regular local school district,1,6,2
Rose Tree Media SD,Regular local school district,0,9,0
Russell Byers CS,Charter agency,9,0,0
SUN Area Technical Institute,Specialized public school district,0,0,0
Saint Clair Area SD,Regular local school district,0,4,5
Saint Marys Area SD,Regular local school district,0,9,0
Salisbury Township SD,Regular local school district,0,0,0
Salisbury-Elk Lick SD,Regular local school district,1,7,1
Sankofa Freedom Academy CS,Charter agency,6,3,0
Saucon Valley SD,Regular local school district,0,8,1
Sayre Area SD,Regular local school district,0,8,1
School Lane CS,Charter agency,9,0,0
Schuylkill Haven Area SD,Regular local school district,0,9,0
Schuylkill Technology Centers,Specialized public school district,0,5,4
Schuylkill Valley SD,Regular local school district,2,6,1
Scranton SD,Regular local school district,9,0,0
Selinsgrove Area SD,Regular local school district,0,4,5
Seneca Highlands Career and Technical Center,Specialized public school district,0,0,0
Seneca Valley SD,Regular local school district,0,8,1
Seven Generations CS,Charter agency,0,0,0
Shade-Central City SD,Regular local school district,1,8,0
Shaler Area SD,Regular local school district,2,7,0
Shamokin Area SD,Regular local school district,0,8,1
Shanksville-Stonycreek SD,Regular local school district,0,5,4
Sharon City SD,Regular local school district,1,8,0
Sharpsville Area SD,Regular local school district,0,4,5
Shenandoah Valley SD,Regular local school district,0,8,1
Shenango Area SD,Regular local school district,2,1,6
Shikellamy SD,Regular local school district,0,8,1
Shippensburg Area SD,Regular local school district,1,8,0
Slippery Rock Area SD,Regular local school district,1,1,7
Smethport Area SD,Regular local school district,0,6,3
Solanco SD,Regular local school district,0,0,9
Somerset Area SD,Regular local school district,2,2,5
Somerset County Technology Center,Specialized public school district,0,0,0
Souderton Area SD,Regular local school district,0,5,4
Souderton CS Collaborative,Charter agency,0,0,0
South Allegheny SD,Regular local school district,4,5,0
South Butler County SD,Regular local school district,1,2,6
South Eastern SD,Regular local school district,0,9,0
South Fayette Township SD,Regular local school district,0,0,0
South Middleton SD,Regular local school district,1,2,6
South Park SD,Regular local school district,0,9,0
South Side Area SD,Regular local school district,0,5,4
South Western SD,Regular local school district,1,4,4
